cluster_id,L,a,b,R,G,B,HEX,global_proportion,colour_record_count,garment_count,chroma,hue_angle_deg,is_neutral,sort_group,palette_index
52,87.34307226108143,-2.0934753843555463,44.354820050560605,243,218,134,#F3DA86,0.000736385426653883,10,10,44.404196883881546,92.70226222160181,False,1,259
92,80.21694723438287,-5.283245425178544,62.61759371907156,223,199,75,#DFC74B,0.001317473633748801,13,13,62.84008056479065,94.82280444180151,False,1,260
143,79.03001756258146,-3.2237284070418024,37.51789026118965,214,195,125,#D6C37D,0.001676718390544746,19,19,37.65613515076975,94.91108281340718,False,1,261
244,87.04509242260974,-2.56448454491891,24.943960465386432,231,218,171,#E7DAAB,0.0011291466922339405,12,12,25.07544106650747,95.86994629752087,False,1,262
393,69.81918966490474,-1.9055172359789214,15.579068326781707,179,171,142,#B3AB8E,0.0011472435282837965,17,17,15.695170144574595,96.97336193612148,False,1,263
441,85.91146946957738,-6.860122017908536,54.03133015850421,235,216,110,#EBD86E,0.0007618561552330859,8,8,54.465088935921884,97.2358791933699,False,1,264
50,60.78210637339148,-3.1210697901346816,23.00778394607783,156,147,106,#9C936A,0.0008306088207094918,15,15,23.218509830397988,97.72517652656597,False,1,265
267,88.4706183458696,-10.753066461084163,77.67726322930653,243,225,57,#F3E139,0.00037972195589645256,4,3,78.41801872727639,97.88151313671506,False,1,266
268,50.49357177693903,-4.015262712683038,28.465525826498503,130,121,71,#827947,0.0007922224879111802,11,11,28.747321531421253,98.02900124751739,False,1,267
130,94.49967984907201,-3.4327862086479115,20.324888774359938,248,240,200,#F8F0C8,0.001111049346811179,10,10,20.612741808027042,99.58653928343239,False,1,268
341,35.70542275513532,-4.874551051867858,25.669751743929222,90,85,42,#5A552A,0.0005884704406016627,12,12,26.128478764601343,100.7521466248952,False,1,269
235,89.73993653119074,-2.40704185907113,11.757427812600586,231,226,203,#E7E2CB,0.0020518700382276753,16,16,12.001289900666277,101.57001598249207,False,1,270
25,75.60885839021395,-1.8633871536271904,9.015258324342643,190,187,170,#BEBBAA,0.002029841802492809,28,28,9.205818504561783,101.67816265316628,False,1,271
403,93.1174421713898,-12.920003364771201,58.691545653067585,247,240,118,#F7F076,0.0004022531160115053,5,5,60.096788750247015,102.41474026013088,False,1,272
1,79.48062168368688,-6.478658122866419,29.2925148465739,205,199,142,#CDC78E,0.0004580425128816824,10,10,30.00040728239761,102.47140492706905,False,1,273
216,92.44245761655256,-8.283886823292042,36.37033968753392,243,236,163,#F3ECA3,0.0008993313438390064,8,8,37.30180142952504,102.83107765334387,False,1,274
355,41.45320048643551,-2.1114648480140428,9.2512931750102,101,98,83,#656253,0.001569391179290508,22,22,9.489189070431111,102.85665751204135,False,1,275
380,85.18004072726964,-3.915364230025519,16.346964468736672,218,214,182,#DAD6B6,0.0014131073318511926,15,15,16.809322544228323,103.46952510626699,False,1,276
140,73.30866468107384,-17.426763181786797,47.99528431516433,177,187,89,#B1BB59,0.0005487296260786194,5,5,51.06113386409999,109.95561722598597,False,1,277
336,61.162544663854256,-13.962536616245053,36.01303402513677,145,153,82,#919952,0.0003912991371045062,7,7,38.62500548162605,111.1917038184821,False,1,278
414,29.93439452337661,-6.378663258364455,10.652917542218212,67,73,54,#434936,0.0013439410844169782,14,14,12.416601673763605,120.91197207230817,False,1,279
378,69.6486199731903,-15.839204577942105,24.79351672618325,158,177,125,#9EB17D,0.000617497603068073,14,14,29.42106172988036,122.57225557489392,False,1,280
299,81.34599758564516,-26.81860754706897,39.93395224256979,178,214,125,#B2D67D,0.00041004314477468835,5,5,48.10361995188667,123.88428616234876,False,1,281
179,46.69790734418919,-13.240482863910984,18.908729748366618,100,116,78,#64744E,0.00046092179773941233,13,13,23.083553607845676,125.00091038696155,False,1,282
392,17.479393714851756,-8.185972538652956,10.432940438234285,36,46,28,#242E1C,0.0008414226712884433,14,14,13.26108564904565,128.1187079425897,False,1,283
291,83.5065087498755,-8.880887443185348,9.556498916259772,198,213,190,#C6D5BE,0.0012299376797698944,13,13,13.045950839820046,132.90141762112933,False,1,284
73,61.354340972239356,-34.985394176242245,34.60544259918142,102,163,84,#66A354,0.0002928958313919609,5,5,49.20888601820087,135.3128199987931,False,1,285
327,73.8789293051816,-46.460928784356874,41.62518417528124,112,202,101,#70CA65,0.00020626275290704823,4,4,62.380075834605755,138.14226509990908,False,1,286
360,74.12336324616189,-11.97888360049626,9.693007983358028,167,188,164,#A7BCA4,0.0008661553211888781,13,13,15.409349631950102,141.0210962344837,False,1,287
232,58.93120703443032,-11.653400810024568,9.14876940256879,127,147,125,#7F937D,0.000960953978906999,16,16,14.815590842773034,141.86550137256694,False,1,288
88,65.50830412113125,-24.67905900718545,15.420975679452356,121,171,131,#79AB83,0.0006714613594837719,8,7,29.10090109234424,148.00035385490742,False,1,289
124,32.3938337667982,-27.812172950672945,15.318701540208595,29,87,51,#1D5733,0.0003813352754627922,9,9,31.75184374357075,151.15441146946375,False,1,290
196,51.69798267876398,-46.816974492921034,25.75249696788214,17,142,77,#118E4D,0.0005294343240651966,5,4,53.43238906086455,151.18623627906516,False,1,291
56,82.05203961390376,-45.43385512769568,18.67415182106162,112,225,167,#70E1A7,0.0002565196548418025,3,2,49.12188044039538,157.65643427935038,False,1,292
314,64.28919400686286,-49.24770291101211,17.14180905029201,31,177,124,#1FB17C,0.00039697986577181204,4,4,52.14573673396497,160.80835884193596,False,1,293
